Timestamp,Duration,CPU Usage (%),Memory Usage (%),Swap Usage (%),GPU Usage (%),Network Sent (bytes),Network Received (bytes)
2024-04-05 16:24:22,1.06,17.8,13.5,21.2,15,4220335683,115169126358
2024-04-05 16:24:24,3.1,17.6,13.5,21.2,15,4220337609,115169132650
2024-04-05 16:24:27,5.16,15.2,13.5,21.3,15,4220338341,115169137420
2024-04-05 16:24:29,7.19,12.6,13.5,21.4,89,4220339839,115169143926
2024-04-05 16:24:31,9.24,16.1,13.4,21.4,17,4220341369,115169149902
2024-04-05 16:24:33,11.28,15.0,13.5,21.4,17,4220342198,115169155567
2024-04-05 16:24:35,13.32,15.7,13.5,21.4,22,4220344288,115169163231
2024-04-05 16:24:37,15.35,15.8,13.5,21.4,17,4220345018,115169169093
2024-04-05 16:24:39,17.39,15.4,13.5,21.4,18,4220346554,115169176323
2024-04-05 16:24:41,19.43,16.8,13.5,21.4,15,4220347780,115169182373
2024-04-05 16:41:56,1.09,12.8,12.3,26.4,15,4221531454,115172650121
2024-04-05 16:42:02,7.16,14.8,12.3,26.4,14,4221536077,115172667044
2024-04-05 16:42:08,13.22,15.4,12.3,26.4,14,4221539748,115172683713
2024-04-05 16:42:14,19.25,14.7,12.3,26.4,15,4221544625,115172704182
2024-04-05 16:42:21,25.31,17.8,12.3,26.4,13,4221548924,115172721269
2024-04-05 16:42:27,31.35,16.0,12.3,26.4,15,4221552997,115172738602
2024-04-05 16:42:33,37.39,16.4,12.3,26.4,14,4221556736,115172754775
2024-04-05 16:42:39,43.44,16.8,12.3,26.4,15,4221561225,115172774500
2024-04-05 16:42:45,49.48,16.0,12.3,26.4,15,4221565855,115172791946
2024-04-05 16:42:51,55.52,18.6,12.3,26.4,13,4221570086,115172809355
